Mes,Ano,Exportaciones 
1,2001,432.3
2,2001,425.9
3,2001,437.1
4,2001,345.9
5,2001,490
6,2001,456.8
7,2001,389.4
8,2001,457.3
9,2001,388.4
10,2001,437.2
11,2001,440.8
12,2001,320
1,2002,367.3
2,2002,411.7
3,2002,441
4,2002,427
5,2002,504
6,2002,434.1
7,2002,440.7
8,2002,458.3
9,2002,443.7
10,2002,478.7
11,2002,481.2
12,2002,375.6
1,2003,462.3
2,2003,522.6
3,2003,544.7
4,2003,536.5
5,2003,580.4
6,2003,531.2
7,2003,530
8,2003,481.6
9,2003,488
10,2003,516.3
11,2003,469.5
12,2003,439
1,2004,475.1
2,2004,512.9
3,2004,582.6
4,2004,524
5,2004,555.9
6,2004,555.7
7,2004,524.6
8,2004,478.7
9,2004,519.6
10,2004,526.3
11,2004,546.1
12,2004,500.1
1,2005,488.3
2,2005,531.1
3,2005,576.6
4,2005,624.5
5,2005,610.3
6,2005,618.1
7,2005,574.5
8,2005,591.9
9,2005,624.2
10,2005,579.4
11,2005,631.8
12,2005,575.6
1,2006,538.8
2,2006,634.1
3,2006,815.4
4,2006,560.9
5,2006,766.5
6,2006,748.3
7,2006,628.5
8,2006,719
9,2006,713.5
10,2006,705.7
11,2006,730.8
12,2006,638.4
1,2007,697.1
2,2007,697.2
3,2007,857.3
4,2007,731.9
5,2007,864.8
6,2007,817.5
7,2007,732.8
8,2007,805.7
9,2007,749.2
10,2007,855.9
11,2007,814.6
12,2007,728.7
1,2008,723.2
2,2008,849.9
3,2008,860.3
4,2008,898.9
