Mes;Ano;Llamadas
1;1962;350
2;1962;339
3;1962;351
4;1962;364
5;1962;369
6;1962;331
7;1962;331
8;1962;340
9;1962;346
10;1962;341
11;1962;357
12;1962;398
1;1963;381
2;1963;367
3;1963;383
4;1963;375
5;1963;353
6;1963;361
7;1963;375
8;1963;371
9;1963;373
10;1963;366
11;1963;382
12;1963;429
1;1964;406
2;1964;403
3;1964;429
4;1964;425
5;1964;427
6;1964;409
7;1964;402
8;1964;409
9;1964;419
10;1964;404
11;1964;429
12;1964;463
1;1965;428
2;1965;449
3;1965;444
4;1965;467
5;1965;474
6;1965;463
7;1965;432
8;1965;453
9;1965;462
10;1965;456
11;1965;474
12;1965;514
1;1966;489
2;1966;475
3;1966;492
4;1966;525
5;1966;527
6;1966;533
7;1966;527
8;1966;522
9;1966;526
10;1966;513
11;1966;564
12;1966;599
1;1967;572
2;1967;587
3;1967;599
4;1967;601
5;1967;611
6;1967;620
7;1967;579
8;1967;582
9;1967;592
10;1967;581
11;1967;630
12;1967;663
1;1968;638
2;1968;631
3;1968;645
4;1968;682
5;1968;601
6;1968;595
7;1968;521
8;1968;521
9;1968;516
10;1968;496
11;1968;538
12;1968;575
1;1969;537
2;1969;534
3;1969;542
4;1969;538
5;1969;547
6;1969;540
7;1969;526
8;1969;548
9;1969;555
10;1969;545
11;1969;594
12;1969;643
1;1970;625
2;1970;616
3;1970;640
4;1970;625
5;1970;637
6;1970;634
7;1970;621
8;1970;641
9;1970;654
10;1970;649
11;1970;662
12;1970;699
1;1971;672
2;1971;704
3;1971;700
4;1971;711
5;1971;715
6;1971;718
7;1971;652
8;1971;664
9;1971;695
10;1971;704
11;1971;733
12;1971;772
1;1972;716
2;1972;712
3;1972;732
4;1972;755
5;1972;761
6;1972;748
7;1972;748
8;1972;750
9;1972;744
10;1972;731
11;1972;782
12;1972;810
1;1973;777
2;1973;816
3;1973;840
4;1973;868
5;1973;872
6;1973;811
7;1973;810
8;1973;762
9;1973;634
10;1973;626
11;1973;649
12;1973;697
1;1974;657
2;1974;549
3;1974;162
4;1974;177
5;1974;175
6;1974;162
7;1974;161
8;1974;165
9;1974;170
10;1974;172
11;1974;178
12;1974;186
1;1975;178
2;1975;178
3;1975;189
4;1975;205
5;1975;202
6;1975;185
7;1975;193
8;1975;200
9;1975;196
10;1975;204
11;1975;206
12;1975;227
1;1976;225
2;1976;217
3;1976;219
4;1976;236
5;1976;253
6;1976;213
7;1976;205
8;1976;210
9;1976;216
10;1976;218
11;1976;235
12;1976;241
