año,mes,temperatura
1976,1,25.2
1976,2,24.3
1976,3,24.3
1976,4,21.4
1976,5,19.8
1976,6,17
1976,7,17.2
1976,8,17.6
1976,9,20.2
1976,10,21.6
1976,11,22.5
1976,12,24
1977,1,25.3
1977,2,26.4
1977,3,24.9
1977,4,21.8
1977,5,21
1977,6,19.3
1977,7,20.8
1977,8,19.6
1977,9,20.2
1977,10,21.6
1977,11,22.5
1977,12,24
1978,1,24.8
1978,2,25.2
1978,3,24.3
1978,4,21.6
1978,5,19.2
1978,6,17.4
1978,7,18.9
1978,8,17.5
1978,9,19.7
1978,10,21.6
1978,11,22.9
1978,12,23.9
1979,1,22.9
1979,2,24.5
1979,3,23.2
1979,4,21.8
1979,5,19.3
1979,6,16.6
1979,7,16.5
1979,8,18.8
1979,9,18.1
1979,10,22
1979,11,21.7
1979,12,24.1
1980,1,24.4
1980,2,25
1980,3,26.4
1980,4,23.6
1980,5,21.7
1980,6,18.2
1980,7,17.6
1980,8,17.8
1980,9,17.3
1980,10,20.2
1980,11,22.2
1980,12,24.6
1981,1,25
1981,2,26.2
1981,3,24.3
1981,4,22.3
1981,5,21.9
1981,6,18.2
1981,7,17.1
1981,8,18
1981,9,19.5
1981,10,19.4
1981,11,23.2
1981,12,23.6
1982,1,23.8
1982,2,25
1982,3,23.9
1982,4,21.6
1982,5,19.9
1982,6,20.3
1982,7,18.8
1982,8,18.7
1982,9,19.7
1982,10,20.6
1982,11,22.4
1982,12,23.8
1983,1,25.9
1983,2,25.9
1983,3,24.1
1983,4,22.6
1983,5,20.9
1983,6,16.9
1983,7,17.2
1983,8,17.9
1983,9,17.1
1983,10,20.4
1983,11,23.5
1983,12,24.5
1984,1,26.2
1984,2,26.6
1984,3,24.7
1984,4,22.2
1984,5,21.8
1984,6,19.5
1984,7,18.3
1984,8,16.2
1984,9,18.3
1984,10,21.4
1984,11,22.3
1984,12,23
1985,1,24
1985,2,25.5
1985,3,25.3
1985,4,23.8
1985,5,20.1
1985,6,18
1985,7,18
1985,8,19.1
1985,9,19.2
1985,10,21.6
1985,11,22.6
1986,12,24
